"","MCC_score"
"CENPM",6.20511061811782
"SEZ6L2",6.20385340991351
"SRSF12",6.20353570645295
"UCHL1",6.20311500952449
"JPH1",6.20146810768236
"MESP1",6.20129069511346
"SPAG5",6.20096419099317
"TIGD3",6.19931600791621
"CCNB1",6.199310717786
"RFC4",6.19885586166667
"BAZ1B",6.19875725407426
"PAX5",6.1985763840824
"ST8SIA3",6.19847384174746
"KCNMA1",6.19831765554462
"RTL6",6.19828529286012
"DNA2",6.19772973123291
"CECR2",6.19733059856167
"ATRNL1",6.19563506761808
"CABLES2",6.19535943110759
"MCM7",6.19514657465791
"ELOVL2",6.19333858293309
"UNC13A",6.19296608907244
"PASK",6.1924162497956
"POLE",6.19234641410163
"BIRC5",6.19203257900511
"DNMT3A",6.19069675854852
"HEPACAM2",6.1897300872884
"PHYHIPL",6.18791062025012
"RAB15",6.18703237746502
"MPPED2",6.18565616783646
"CHN1",6.18549454517357
"FMN2",6.18512575724582
"NAT14",6.18441913846186
"LHFPL4",6.18426268931408
"DCX",6.18382469085707
"BEND5",6.18330399410592
"IGF2BP3",6.18178972104536
"RAD51AP1",6.18159047165596
"EEF1E1",6.18047917783949
"NUP62CL",6.1803139666388
"REXO5",6.17961410504092
"AMER2",6.17822326415195
"NDC80",6.17757375545362
"FNDC5",6.17749672485855
"BCL2L11",6.17597597413657
"DISP2",6.17409341250314
"CCNB2",6.17359891412195
"SHC2",6.17217792799627
"POU4F3",6.17102965814437
"UHRF1BP1",6.17067228559587
"ZNF678",6.16915360407314
"SLIT1",6.16810979101786
"PATZ1",6.16779093164506
"YPEL1",6.16697474732297
"MELK",6.1668538209334
"WDR54",6.16658981383421
"ANO5",6.16655679935233
"CACNA1A",6.16638796892317
"IGFBPL1",6.16585769059267
"PRR11",6.16525954521183
"PIMREG",6.16497970439835
"KIF18B",6.16451039867991
"CHST9",6.16358771281503
"NOL4L",6.16279787040073
"FAXC",6.16267859415054
"TOP2A",6.16155381907897
"KNTC1",6.1593666698379
"DNAAF3",6.15904720274006
"BEX2",6.15879400173984
"CHGA",6.15749467129965
"ATP2B2",6.15708636782897
"BEX3",6.15687406901106
"PRTFDC1",6.15549927468901
"SVOP",6.15508066319532
"FBXO41",6.15492901681412
"CPLX1",6.15479271879592
"DIAPH3",6.15290915839644
"APBA2",6.15204971655761
"TBC1D24",6.15156960476727
"CDH24",6.14626298666214
"SSX2IP",6.14598791236144
"ORC6",6.14309515189625
"TTLL7",6.14290005909898
"MYBL2",6.14043107424883
"ASF1B",6.13686402605476
"CBX3",6.13490334567884
"PRC1",6.1339459629747
