"","MCC_score"
"KLF8",-6.18458239424897
"EXPH5",-6.18539052570491
"NIPAL4",-6.18611830692537
"ENDOU",-6.1874946970111
"FCER1A",-6.18902205265788
"CCL27",-6.19022095163394
"VAV3",-6.19028927542986
"CTSG",-6.19238979190272
"MAMDC2",-6.19372143135265
"ISM1",-6.19778677239149
"C2CD2",-6.20028238629421
"SYNPO2",-6.20127049345358
"PLP1",-6.20138582608927
"IL37",-6.20741896663734
"KLF4",-6.20862426296688
"NPY1R",-6.20951616679984
"IL20RB",-6.21056370923168
"LY6G6C",-6.21139234948567
"DSC1",-6.21685329286748
"PLLP",-6.21760895090509
"BBOX1",-6.21930824281949
"GPR87",-6.22060563399719
"BCHE",-6.22354316334667
"AKR1C2",-6.22534918268358
"AHCYL2",-6.22739336371245
"CLDN1",-6.22901775976906
"GHR",-6.22922004133335
"NXT2",-6.23138614004435
"CRYAB",-6.23340132855734
"PIK3C2G",-6.24005613806597
"ADH1B",-6.2430936499257
"DCT",-6.24317196644386
"RHBDF1",-6.24347696946675
"KRT23",-6.24426497035938
"PIK3C2A",-6.24651942550306
"DCD",-6.24743149940148
"IL20RA",-6.24798682041637
"UFM1",-6.24936078002489
"POF1B",-6.25063845520918
"TSPAN8",-6.25169407444462
"SERPINB7",-6.25353958828921
"PLSCR4",-6.25596728983678
"PIP",-6.25814966281399
"MATN2",-6.26266303451713
"SERPINB2",-6.26297084564881
"NDRG2",-6.26376663499531
"CAVIN2",-6.26596659531481
"ANO10",-6.2668096099482
"EGFR",-6.26984227570091
"KRT77",-6.26985625144908
"LINC01133",-6.27078379376147
"AQP1",-6.2715352134771
"CA12",-6.273342543129
"PROM2",-6.27403534401074
"C1orf116",-6.2751949602917
"PTPN13",-6.27625695516684
"FAXDC2",-6.27685004750526
"TP63",-6.27720999573111
"AGTR1",-6.28233729463847
"UEVLD",-6.28433763398638
"PLA2R1",-6.28560066671012
"MPP7",-6.28587161570963
"CLDN8",-6.29164304429313
"MUC15",-6.30402702449995
"NTRK2",-6.30994231538641
"PTGFR",-6.31128739728986
"SERPINA12",-6.31378673190713
"CFD",-6.31468173930967
"KLF3",-6.32129458768641
"TRAF3IP2",-6.32322225071064
"MYH11",-6.32619778398373
"SLC7A2",-6.32789527202642
"CHP2",-6.33014786863011
"SCEL",-6.3390873137556
"SCARA5",-6.3410032782432
"BNIPL",-6.3413752326918
"LRIG3",-6.34267848309336
"RNASE4",-6.34487937329433
"CNN1",-6.35660033864973
"CTNNA1",-6.36242010329482
"KLF5",-6.37667014020776
"NOTCH2",-6.39107991754313
"CYP4F12",-6.39882210597533
"GULP1",-6.40519960136104
"SEPTIN10",-6.44518774422584
"ANG",-6.45095663321099
"PALMD",-6.45943291837221
