"","degree","eigenvector","betweenness","closeness",""
"PIP5K1C","177","0.00264147744785047","322.510502576907","0.000660938532716457","Module_1"
"SPON2","184","0.00286858797882717","405.963428093033","0.000664010624169987","Module_1"
"MVP","179","0.0027970635474966","481.228322894241","0.000675675675675676","Module_1"
"IFITM3","167","0.00242368106192862","208.435005719992","0.00065402223675605","Module_1"
"ERCC2","172","0.00252025305197141","272.020150001795","0.000657030223390276","Module_1"
"PGLS","163","0.00236267326934729","183.65241507114","0.000649350649350649","Module_1"
"LY6E","168","0.00246414168639155","1069.64599405762","0.000681663258350375","Module_1"
"NISCH","178","0.00270871401672321","304.677465191081","0.000661375661375661","Module_1"
"TGFB1I1","172","0.00253257736516482","253.343404883028","0.000657462195923734","Module_1"
"VEGFB","170","0.00248172398472457","231.357053418728","0.000656598818122127","Module_1"
"GSN","184","0.00291407177790082","535.393204306436","0.000677966101694915","Module_1"
"NPDC1","178","0.00272247666121131","317.353219907006","0.000660938532716457","Module_1"
"TSC2","169","0.00248480329796347","602.039075183129","0.000685400959561343","Module_1"
"FANCD2","200","0.975574332660403","898.288168039142","0.000700770847932726","Module_2"
"MAD2L1","194","0.968089097215343","407.162463006031","0.000697836706210747","Module_2"
"SMARCC1","201","0.963799043286784","1314.4950619473","0.000693481276005548","Module_2"
"CDK1","196","0.97994650789261","352.868255247324","0.000698812019566737","Module_2"
"UCHL5","201","0.999164885517587","522.702405317636","0.000702247191011236","Module_2"
"RRM2","192","0.966121656583946","246.888722435284","0.000696864111498258","Module_2"
"SKA3","191","0.950836696969493","424.83799598808","0.00068870523415978","Module_2"
"SMC4","201","0.9680403601762","1127.19803059152","0.000693481276005548","Module_2"
"CIP2A","198","0.990640060979263","327.783117690773","0.000700770847932726","Module_2"
"NDC1","198","0.993005265829737","237.884170038817","0.000689179875947622","Module_2"
"RRM2P3","190","0.953850067634221","283.397735714082","0.000688231245698555","Module_2"
"CENPU","195","0.953327460181245","747.146315206689","0.00069060773480663","Module_2"
"NCAPG2","197","0.983913756606779","361.279870530102","0.000699300699300699","Module_2"
"CENPN","197","0.977361105594599","520.741040720038","0.000699300699300699","Module_2"
