"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLP1",-4.20231379296354,7.38720637431915,-34.5004035336357,1.8215528779448e-55,9.42676967578461e-53,116.214697194223
"KRT77",-5.89257426348854,9.35990460842553,-34.2534728970151,3.42359562619573e-55,1.72746076308771e-52,115.587208939951
"CD46",-2.58986331515625,7.95981935629787,-34.1196063901297,4.82781449478178e-55,2.37657999873612e-52,115.245370575697
"PICALM",-3.06694710490521,7.46861916535106,-33.9933706763768,6.68293556561011e-55,3.21146877430259e-52,114.921938753777
"PDLIM5",-3.1593524437375,7.11653194553192,-33.6298633356313,1.7144172830607e-54,8.04699628465446e-52,113.984681597772
"LRP8",5.54659731223958,6.40594164665957,33.3236670843048,3.81659634278002e-54,1.72735764618693e-51,113.18831138449
"LRRN4CL",-3.70705737444792,8.26033852340426,-33.3202158349374,3.85131517011406e-54,1.72735764618693e-51,113.179298981983
"DDX42",-2.84312407215313,7.74862654492553,-33.2242428348922,4.95577905580933e-54,2.17440192789999e-51,112.928354995539
"SLAIN2",-2.59039934338854,6.1356617912234,-33.2044548418437,5.22062790380183e-54,2.24187091451984e-51,112.876536383625
"PLPP3",-5.1636878632625,10.1216978957872,-33.0498549013861,7.84817938645115e-54,3.25316147600759e-51,112.470762478093
"KLF5",-4.97791588742812,8.31876078501064,-33.0474609055371,7.89797910738602e-54,3.25316147600759e-51,112.464466103923
"DSC1",-7.52475807312917,10.3522886900851,-32.8762072900685,1.24297304044744e-53,5.01738497507015e-51,112.013029731753
"RAI2",-3.3426154723323,7.48144335824468,-32.8676370619696,1.27157015068043e-53,5.03217653944768e-51,111.990384621919
"ELAVL2",6.03142863391667,6.59063728485106,32.7383435575721,1.79322927070412e-53,6.96014353281178e-51,111.648132033555
"PALMD",-4.21891512970625,8.94484599946809,-32.7304447948945,1.83135514903674e-53,6.97400773075634e-51,111.62718543436
"RAB26",4.74392642492083,6.89697412909574,32.5359562103867,3.07842969082665e-53,1.15059160092508e-50,111.110044546818
"LCE2B",-6.6564515681125,9.41035195618085,-32.4201411347454,4.19934906858116e-53,1.54100840456679e-50,110.800829050911
"RNASE4",-4.25065762935729,8.44918524195745,-32.3616682162152,4.91382653253425e-53,1.77099573046676e-50,110.644350878683
"PTGFR",-3.30526948547813,7.76334354653191,-32.160349732987,8.45568547033419e-53,2.98001674058854e-50,110.103744043905
"SNAP23",-2.23228170363437,6.93992734528723,-32.1556547479674,8.56369077709633e-53,2.98001674058854e-50,110.091101871284
"GNG4",5.19821819985,5.76681517771277,32.0456521486258,1.15345898693983e-52,3.94580724295025e-50,109.794444949765
"LRIG3",-3.63342480696146,7.38348436703192,-32.0150219167552,1.25338083416981e-52,4.21616422934154e-50,109.711685729966
"GATA3",-4.86287508162708,8.26236074656383,-31.6313908241705,3.56803996835707e-52,1.18055328985821e-49,108.669393951652
"RAB5A",-2.90466917722188,7.84273561208511,-31.5746082936232,4.16933823568153e-52,1.35725409049613e-49,108.5142070081
"MFAP3L",-4.55290172255521,8.24206655268085,-31.5185074406195,4.86397762210835e-52,1.55824857693671e-49,108.360649952646
"CYP4F12",-2.84845685248021,6.79481989985106,-31.465957193002,5.62043431402054e-52,1.77245665249807e-49,108.216600755453
"CAT",-3.04193823117916,8.84886626393617,-31.3396082451703,7.96280709377483e-52,2.47251285497934e-49,107.869419564116
"CPA3",-4.68608579647917,8.98841210456383,-31.3190928335389,8.427133605296e-52,2.57704299326802e-49,107.812935463582
"GULP1",-3.13970745039167,7.48699177644681,-31.2426714057494,1.04108208069866e-51,3.13614322906584e-49,107.602251888858
"CTSG",-3.60838375617187,8.07428726909574,-31.1637342847207,1.29570717466455e-51,3.84577322150804e-49,107.384174581921
"CP",-3.66785079165938,6.25847549517021,-30.9153907060341,2.58674157810018e-51,7.56640656098493e-49,106.695026942888
"EXPH5",-5.02327623854895,8.87091154339362,-30.8898778204818,2.77785913735604e-51,8.0093615670367e-49,106.62396517904
"MATN2",-4.50824464789584,8.97073316119149,-30.8821244019049,2.83871850949479e-51,8.06955713762442e-49,106.602359571307
"SNAP25",5.13654498269583,5.83362440675532,30.8250836710408,3.32985641940811e-51,9.3342350156825e-49,106.443269885108
"INPP5A",-2.36411254213125,6.1359256722234,-30.6344095290995,5.68664616831032e-51,1.57224081664394e-48,105.909667018781
"TMOD3",-2.39544062522083,6.36423340048936,-30.6271395647891,5.80419081272669e-51,1.58305382666571e-48,105.889266850303
"BBOX1",-5.01472367886666,8.12582495770213,-30.5875888598339,6.48800968921413e-51,1.74596666076545e-48,105.778212853436
"SLC20A1",2.84654274111354,8.71257727304255,30.574341722434,6.73478820822957e-51,1.78852934745654e-48,105.740989446671
"NRXN3",3.73189758347812,5.89057814858511,30.4529321807559,9.48808604249845e-51,2.4869875402045e-48,105.399207517007
"NEFM",6.64068285890729,6.3710940892234,30.3880100066863,1.140186038946e-50,2.95030446462143e-48,105.215975953711
"AADACL2",-5.14233138754062,7.74702187587234,-30.3750861719283,1.18270724320917e-50,3.02159244173298e-48,105.179461624882
"KLF4",-4.31902102685312,8.63385731193617,-30.2209919033179,1.83189958725665e-50,4.62165367120013e-48,104.743089268078
"KLF8",-2.84271925675104,6.3674115118617,-30.1601433785562,2.17849009033396e-50,5.42820561644572e-48,104.570263985007
"BEX1",5.89244601444792,7.27460864417021,30.0044657978097,3.39822393468776e-50,8.36418947241499e-48,104.126775166766
"BNIPL",-2.66184934765208,6.23122371117021,-29.9901578308592,3.54029813278283e-50,8.60889604987419e-48,104.085919203098
"IL6ST",-3.29948011041459,8.88179826512766,-29.9744163536325,3.70354642172653e-50,8.89865207496506e-48,104.04095118464
"ADH1B",-5.98524120603021,8.69086400217021,-29.8312752339094,5.58506935351465e-50,1.32615829131748e-47,103.631144018998
"MAPK1",-1.98770588209167,7.21248737543617,-29.6935009833913,8.30626754279592e-50,1.94936509088663e-47,103.235160175479
"JAK1",-2.49382823686875,8.44995972068085,-29.6584528248426,9.1909380233685e-50,2.13219197845571e-47,103.134184059427
"SERPINB7",-5.37040484481459,9.23960227825532,-29.5615190574085,1.21658738470946e-49,2.79027081654443e-47,102.854397113142
"TMEM30A",-2.80261116859271,7.56992983290426,-29.3614736953538,2.17516853798672e-49,4.93274456204336e-47,102.274591817953
"VAMP3",-3.43647110025209,8.45436138589362,-29.3357696837523,2.34432477934311e-49,5.25727855794245e-47,102.199856549433
"CLDN1",-6.03609860869167,9.71228415104255,-29.2964369720842,2.6292521876299e-49,5.8081449150372e-47,102.085391119993
"WLS",-3.56698911352604,8.22611999894681,-29.294063807253,2.64752183611664e-49,5.8081449150372e-47,102.078480735424
"KRT2",-7.56837802997292,11.0839757546064,-29.2294863492025,3.1970407952048e-49,6.9382660612493e-47,101.890261879499
"ANG",-2.63228882353854,6.69380882194681,-29.1442194021406,4.10319003935024e-49,8.81007282597934e-47,101.641217646682
"PLEKHF2",-2.70027040219792,8.17829842829787,-29.107765454735,4.56595700715051e-49,9.7004958184546e-47,101.534562172677
"DNAJC3",-4.49244719073021,8.41491876657447,-28.9784941791977,6.6755253741766e-49,1.39705924458778e-46,101.155462166522
"ELAVL4",3.65905915153333,5.76985962759574,28.9765264760708,6.71430147772949e-49,1.39705924458778e-46,101.149681019178
"MBNL1",-4.01187992884479,8.59766978974468,-28.9429510329906,7.41212273089917e-49,1.52651911303814e-46,101.050986303638
"PTPN13",-3.46524499225938,7.18149463801064,-28.9322998391301,7.64844954254192e-49,1.55927936481943e-46,101.019657678164
"UFM1",-2.3161834773323,6.9976579355,-28.8672426887492,9.26652761418806e-49,1.87026326837158e-46,100.828098833762
"DSG1",-7.28725199915834,10.0950818674894,-28.8515840688412,9.7050863005737e-49,1.93938373073742e-46,100.781939916465
"CXADR",-2.40540320378333,6.37246266470213,-28.8083017362857,1.10294740992973e-48,2.16522252415892e-46,100.654244723892
"CDV3",-1.75880545751146,5.89717666838298,-28.8076794425605,1.1049790417102e-48,2.16522252415892e-46,100.652407640669
"MAF",-3.39322115432291,10.6538155310638,-28.7717828509113,1.22879862293302e-48,2.38469640448626e-46,100.546381989408
"PAMR1",-3.09555459573542,8.15069752088298,-28.6686436211847,1.66827983828515e-48,3.20675161677231e-46,100.241145514657
"CAVIN2",-2.85042362337917,5.7295078182766,-28.6496089789194,1.76529336504862e-48,3.36121848931852e-46,100.18471567402
"CAPNS2",-4.3772060096625,8.93402986868085,-28.6181869175777,1.93806651332594e-48,3.655700601725e-46,100.091495585784
"CCDC6",-2.17109530767396,7.61559740387234,-28.6100319818398,1.98563229259844e-48,3.71074227421429e-46,100.067288685919
"TSPAN8",-5.44032928449583,8.8359619705,-28.5796081186878,2.17372715965255e-48,4.02498488653829e-46,99.9769298234259
"ISM1",-3.72261417589063,8.03412872388298,-28.4815316128765,2.91166827247514e-48,5.34238188576052e-46,99.6851104965919
"SNX21",-3.54508453906667,7.6279256042234,-28.3687841924366,4.07845623575177e-48,7.41580920776378e-46,99.3486316133976
"ADCY1",5.13664350194375,6.68471942578723,28.3126068082848,4.82602878462435e-48,8.6967624071494e-46,99.1805742756815
"UEVLD",-2.49830409520625,6.97549674169149,-28.1924339860655,6.92366799094259e-48,1.23664062886013e-45,98.8201657681207
"ITPRID2",-2.94628179392917,5.99180909187234,-28.1324822702318,8.29336970546083e-48,1.46829018215189e-45,98.6399022845827
"SYNPO2",-4.07178099770626,8.67696672467021,-28.1040756112824,9.03488227687731e-48,1.58566112168882e-45,98.554380825644
"PLN",-3.93825033571771,7.84417100046809,-28.0640103619435,1.01959663066894e-47,1.76138781524295e-45,98.433641587131
"WFDC5",-5.49545933478439,8.63553167602128,-28.0627784502665,1.02339610370055e-47,1.76138781524295e-45,98.4299269453559
"CYBRD1",-3.97414872180625,10.4315504246596,-28.0607137400813,1.0297961759831e-47,1.76138781524295e-45,98.4237008327355
"ARFIP1",-2.08108454616354,6.66604662930851,-28.0531178096161,1.0536912990642e-47,1.78711357050527e-45,98.4007922117678
"PLCD3",-1.77323557563646,6.36605402765957,-28.0248453226693,1.14765576727497e-47,1.93026136257589e-45,98.3154811877556
"COBLL1",-1.92466278243646,6.90909431120213,-28.0114263325743,1.1951706547205e-47,1.99356440696064e-45,98.274965759541
"E2F7",4.95356493605417,5.67649480990426,27.991987182958,1.26754698441102e-47,2.09695908084981e-45,98.2162462485443
"AGTR1",-4.45414303026146,7.78964996817021,-27.876852605145,1.79673762134061e-47,2.94825653752175e-45,97.8677888870721
"HPGDS",-3.37619841080521,6.92363126456383,-27.8375309336741,2.02463045098295e-47,3.29541261227329e-45,97.7485167484039
"IL20RB",-4.27416316484271,8.59178682403192,-27.7390807600041,2.73176607818407e-47,4.41081878047912e-45,97.449301207398
"TGM3",-3.31828960633958,7.4456911861383,-27.7108673337972,2.97709736460841e-47,4.76879016745171e-45,97.3633968459341
"HES6",5.5667173992052,7.41068991024468,27.6958152722014,3.1169616145494e-47,4.95351466664965e-45,97.3175376898567
"TYRP1",-6.29835925056459,9.59436668509574,-27.6113757550283,4.03403815406798e-47,6.36085875496516e-45,97.0599062613581
"ATP2B2",3.3635502518125,6.35509424680851,27.5807164639507,4.43073355072076e-47,6.93220893443388e-45,96.9662069753249
"CACNA2D2",2.88282978227396,7.42588446453192,27.5613887851904,4.70082014611443e-47,7.24731894270126e-45,96.9070961126902
"ZFYVE21",-2.70842580483958,7.24464431009574,-27.561171249635,4.70395273989925e-47,7.24731894270126e-45,96.9064306243778
"C1orf116",-4.16228573322396,7.96950543409574,-27.5149040435671,5.42047316678901e-47,8.22849526425365e-45,96.7647941360196
"CA12",-5.07049659305834,9.09609232459574,-27.514792048543,5.42233498561034e-47,8.22849526425365e-45,96.7644510589861
"NAPB",2.40904861324479,7.53020808952128,27.4745746642893,6.1344419864747e-47,9.23965989649395e-45,96.641180322241
"NHLH1",4.21378738606771,6.7981774562766,27.4418938986789,6.78213550353602e-47,1.01395437679902e-44,96.5409044849246
"CDH2",4.83606999883542,5.79137874040426,27.4257274841225,7.12762866502865e-47,1.05777153931083e-44,96.4912652864439
"LAMB4",-2.66693077155208,5.8999570321383,-27.3907465534275,7.93726400713504e-47,1.16932700332851e-44,96.3837762883581
"EGFR",-5.18402607803958,9.44681008602128,-27.3742231268032,8.3513779040775e-47,1.22141927708693e-44,96.3329654087423
"APLP1",3.19709050991979,6.48652945512766,27.3670459127241,8.53798413052191e-47,1.23972758062103e-44,96.3108873127742
"RIMS2",4.17057049215729,5.20226183240426,27.350013877286,8.997835116144e-47,1.29716647249382e-44,96.2584760493322
"DCD",-8.27541918610834,11.329392084766,-27.3396786881663,9.28898250866605e-47,1.32964208491069e-44,96.2266598157642
"LPP",-2.84123961771042,6.68604846194681,-27.2889009937732,1.08636509880358e-46,1.54409202740512e-44,96.0702052664338
"FLG2",-7.58758165894166,10.7398143473191,-27.2589932829267,1.1914555919821e-46,1.68161875615208e-44,95.9779466970688
"SCGB2A2",-7.48232299709375,10.2680976039894,-27.2485361267848,1.23057334319438e-46,1.72476817956195e-44,95.9456698157565
"CELF4",3.73571634354583,5.29826550956383,27.2360009555667,1.27917682726908e-46,1.78052592446703e-44,95.9069660503341
"TXNIP",-3.78177779135833,11.0497586741809,-27.181034271559,1.51624970002717e-46,2.0960594312088e-44,95.7370836704457
"RORA",-4.64338862481146,9.07899494024468,-27.1536385867086,1.65050286159782e-46,2.26612920106318e-44,95.6523119997265
"FHL1",-4.0354210531927,8.27769652723404,-27.1062815585361,1.91151018534257e-46,2.60675743721413e-44,95.5056136700158
"GSTA3",-2.48856265769479,6.98086702903191,-27.0013834296931,2.64799024368949e-46,3.58687161667013e-44,95.1799486143338
"TMEM43",-2.40873356303749,9.4153477492766,-26.897085514783,3.66494987016321e-46,4.93131221530028e-44,94.8551580352242
"LPCAT1",2.56822725387292,8.27369348751064,26.8677802263654,4.01609831118656e-46,5.36800743143565e-44,94.7637213338404
"CD1A",-3.26555521663646,8.18266210030851,-26.8618878414033,4.09070447089189e-46,5.43175581157967e-44,94.745326793698
"CACNA1A",3.85200658810312,7.32766786651064,26.8534107291873,4.20049775428539e-46,5.54108798527726e-44,94.7188578303138
"XG",-4.2984177747427,8.38565014408511,-26.8285939681568,4.53932079069147e-46,5.94224988418255e-44,94.6413321814086
"POU2F3",-3.82491453468958,7.36170589846809,-26.8268959620453,4.56348774735319e-46,5.94224988418255e-44,94.6360256851744
"ACER1",-2.97795421183021,7.11227069312766,-26.8126389489251,4.77159270166266e-46,6.17340099343958e-44,94.5914602178959
"SH3D19",-3.218931802975,8.81543818685106,-26.810577767117,4.80246153025934e-46,6.17376312517352e-44,94.5850157089676
"IGFBP6",-3.74672071381459,9.07397936234043,-26.8011442809941,4.94633234334706e-46,6.31846998011225e-44,94.5555159312381
